date,TT,AN,AP,AR,AS,BR,CH,CT,DD,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UP,UT,WB,
14-Mar-20,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
15-Mar-20,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,
16-Mar-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
17-Mar-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
18-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19-Mar-20,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
20-Mar-20,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-Mar-20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24-Mar-20,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
25-Mar-20,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26-Mar-20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27-Mar-20,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,18,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
28-Mar-20,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
29-Mar-20,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30-Mar-20,49,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,4,0,0,14,0,0,0,0,0,0,0,0,0,0,13,2,0,6,1,0,
31-Mar-20,15,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,
01-Apr-20,16,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
02-Apr-20,22,0,0,0,0,3,0,1,0,2,0,0,5,0,0,0,1,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
03-Apr-20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,
04-Apr-20,56,0,0,0,0,0,3,0,0,8,0,0,3,0,1,0,0,0,8,0,0,2,0,0,0,0,0,0,2,0,22,0,1,2,0,4,0,0,
05-Apr-20,43,0,3,0,0,0,2,5,0,0,0,0,8,0,0,0,1,1,6,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,7,
06-Apr-20,65,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,8,3,7,0,14,0,1,8,0,0,0,0,0,0,0,12,5,0,0,0,0,
07-Apr-20,75,0,0,0,0,6,2,1,0,4,0,0,3,1,2,0,0,5,12,0,0,9,0,0,10,0,0,0,10,1,0,0,0,6,0,0,0,3,
08-Apr-20,96,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,13,0,0,38,0,0,4,0,0,0,0,0,20,0,0,2,0,10,1,0,
09-Apr-20,70,10,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,13,0,0,8,0,0,0,0,0,0,4,0,15,0,0,6,0,0,0,3,
10-Apr-20,151,0,0,0,0,0,0,0,0,2,0,1,7,0,4,0,0,4,27,1,0,63,0,0,12,0,0,10,2,0,0,0,0,17,0,1,0,0,
11-Apr-20,186,0,0,0,0,0,0,0,0,0,0,4,11,6,0,0,0,5,19,0,0,20,0,0,1,0,0,0,0,0,56,0,51,0,0,13,0,0,
12-Apr-20,114,0,2,0,0,11,0,1,0,1,0,0,0,4,8,0,0,15,36,0,0,9,0,0,3,0,0,0,3,0,5,0,7,6,0,0,0,3,
13-Apr-20,112,0,0,0,0,2,0,0,0,3,0,0,10,0,7,0,10,6,19,1,0,12,0,0,10,0,0,6,2,0,0,0,0,8,0,4,2,10,
14-Apr-20,167,0,4,0,0,1,0,3,0,0,0,0,5,1,4,0,14,11,13,0,0,30,0,0,13,0,0,0,2,0,26,0,7,23,0,1,2,7,
15-Apr-20,144,0,4,1,2,0,2,4,0,10,0,1,5,0,2,0,6,9,7,0,0,36,0,0,0,0,0,1,0,0,0,0,8,37,1,7,0,1,
16-Apr-20,258,1,0,0,3,8,0,6,0,11,0,0,9,3,8,0,2,2,27,2,0,5,0,0,6,0,0,0,2,0,17,0,68,62,0,11,0,5,
17-Apr-20,273,0,15,0,4,0,0,1,0,20,0,0,13,0,21,0,4,6,10,0,0,31,0,0,0,0,0,2,1,0,19,0,0,103,0,14,0,9,
18-Apr-20,426,0,7,0,3,5,0,1,0,135,0,0,7,0,14,0,9,16,2,0,0,34,0,0,57,0,0,3,1,3,17,0,0,82,0,26,0,4,
19-Apr-20,388,0,23,0,5,0,4,0,0,83,0,1,12,0,4,0,5,7,13,0,0,142,0,0,4,0,0,0,6,0,5,0,0,46,0,19,2,7,
20-Apr-20,419,0,27,0,2,0,1,0,0,141,0,0,26,0,37,4,15,1,21,0,0,65,0,1,7,0,0,0,1,0,0,0,0,46,0,13,7,4,
21-Apr-20,703,0,4,0,0,0,0,0,0,180,0,0,8,0,6,0,10,17,16,0,0,150,0,0,10,0,0,6,11,0,69,0,8,178,0,22,1,7,
22-Apr-20,394,0,24,0,0,0,0,3,0,113,0,0,40,0,11,0,11,2,1,0,0,67,0,0,4,0,0,2,4,0,70,0,0,27,0,11,4,0,
23-Apr-20,642,0,21,0,0,2,0,2,0,84,0,0,79,2,12,4,0,14,8,2,0,51,0,0,51,0,0,1,13,0,107,0,58,90,1,33,1,6,
24-Apr-20,484,0,4,0,0,0,1,0,0,49,0,0,7,0,16,0,17,7,15,0,0,117,0,0,7,0,0,0,4,0,42,0,39,114,0,20,1,24,
25-Apr-20,442,0,26,0,0,1,0,2,0,12,0,0,17,4,5,0,3,6,7,0,0,119,0,0,71,0,0,1,2,0,20,0,16,94,0,35,1,0,
26-Apr-20,585,0,60,0,8,11,2,0,0,8,0,0,31,0,8,5,25,24,4,0,0,112,0,0,21,0,0,1,12,0,116,0,9,60,0,66,0,2,
27-Apr-20,580,0,4,0,0,0,0,0,0,0,0,0,81,3,14,4,27,11,13,0,0,94,0,0,55,0,0,2,14,1,115,0,16,54,0,72,0,0,
28-Apr-20,636,4,23,0,0,8,0,2,0,201,0,0,40,0,11,2,12,14,4,0,0,106,0,0,16,0,0,1,3,0,26,0,42,54,0,63,0,4,
29-Apr-20,690,0,29,0,2,0,0,0,0,14,0,0,93,0,1,0,16,9,10,1,0,205,0,0,88,0,0,1,0,0,44,0,35,82,0,48,2,10,
30-Apr-20,630,1,34,0,0,20,1,2,0,2,0,0,86,3,10,0,24,13,14,0,0,180,0,0,21,0,0,2,3,0,79,0,33,48,0,41,8,5,
01-May-20,962,0,82,0,4,14,0,0,0,73,0,0,123,2,6,2,31,22,9,0,0,106,10,0,42,0,0,14,4,0,223,0,22,54,0,103,1,15,
02-May-20,831,10,38,0,0,19,1,0,0,89,0,0,160,3,1,1,7,20,8,0,0,121,0,0,100,0,0,1,4,0,126,0,35,29,0,44,2,12,
03-May-20,911,6,47,0,0,7,0,0,0,106,0,0,146,1,3,5,33,22,1,0,0,115,0,0,174,0,0,4,5,1,114,0,46,38,0,56,0,-19,
04-May-20,1082,0,36,0,0,3,2,0,0,69,0,0,153,0,9,0,16,28,61,0,0,350,0,0,58,0,0,0,11,0,82,0,40,30,0,48,0,86,
05-May-20,1295,0,65,0,0,31,0,0,0,37,0,0,186,0,2,6,17,10,0,0,0,354,0,0,144,1,0,0,5,0,87,0,43,76,0,185,0,46,
06-May-20,1161,0,140,0,2,0,0,0,0,74,0,0,119,0,4,4,2,23,7,0,0,275,0,0,99,0,0,1,2,0,214,0,20,31,0,143,0,1,